@version:1.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[mcmds],,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enable,mode,func,readAddress,readQuantity,writeAddress,writeQuantity,pollInterval,swap,fpFunc,fpTout,fpData,scalingFunc,interceptSlope,interceptOffset,pointSourceMin,pointSourceMax,pointTargetMin,pointTargetMax,stFunc,stData,tagName,dataType,dataUnit,access,dataSize,offset
pv_v1,1,0,3,5776,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v1,int16,,r,,0
pv_a1,1,0,3,5777,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a1,int16,,r,,0
pv_v2,1,0,3,5778,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v2,int16,,r,,0
pv_a2,1,0,3,5779,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a2,int16,,r,,0
PF,1,0,3,5793,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,PF,int16,,r,,0
Vrs,1,0,3,5784,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrs,uint16,,r,,0
Vst,1,0,3,5786,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vst,uint16,,r,,0
Vrt,1,0,3,5788,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrt,uint16,,r,,0
Rc,1,0,3,5785,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Rc,int32,,r,,0
Sc,1,0,3,5787,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Sc,int32,,r,,0
Tc,1,0,3,5789,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Tc,int32,,r,,0
temp,1,0,3,5798,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,temp,int16,,r,,0
State,1,0,3,5744,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,State,uint16,,r,,0
acp,1,0,3,5796,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,acp,int32,,r,,0
dcp,1,0,3,5794,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,dcp,int32,,r,,0
E_today,1,0,3,5654,2,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,E_today,uint32,,r,,0
AC_kwh,1,0,3,5714,2,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,AC_kwh,uint32,,r,,0
freq,1,0,3,5792,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,freq,uint16,,r,,0
