@version:1.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[mcmds],,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enable,mode,func,readAddress,readQuantity,writeAddress,writeQuantity,pollInterval,swap,fpFunc,fpTout,fpData,scalingFunc,interceptSlope,interceptOffset,pointSourceMin,pointSourceMax,pointTargetMin,pointTargetMax,stFunc,stData,tagName,dataType,dataUnit,access,dataSize,offset
pv_v1,1,0,3,227,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v1,int16,,r,,0
pv_a1,1,0,3,230,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a1,int16,,r,,0
pv_v2,1,0,3,228,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v2,int16,,r,,0
pv_a2,1,0,3,231,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a2,int16,,r,,0
Vrs,1,0,3,210,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrs,uint16,,r,,0
Vst,1,0,3,211,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vst,uint16,,r,,0
Vrt,1,0,3,212,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrt,uint16,,r,,0
Rc,1,0,3,213,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Rc,int32,,r,,0
Sc,1,0,3,214,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Sc,int32,,r,,0
Tc,1,0,3,215,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Tc,int32,,r,,0
temp,1,0,3,250,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,temp,int16,,r,,0
State,1,0,3,200,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,State,uint16,,r,,0
acp,1,0,3,219,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,acp,int32,,r,,0
dcp,1,0,3,260,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,dcp,int32,,r,,0
E_today,1,0,3,253,2,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,E_today,uint16,,r,,0
AC_kwh,1,0,3,240,2,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,AC_kwh,uint32,,r,,0
freq,1,0,3,224,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,freq,uint16,,r,,0
