@version:1.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[mcmds],,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enable,mode,func,readAddress,readQuantity,writeAddress,writeQuantity,pollInterval,swap,fpFunc,fpTout,fpData,scalingFunc,interceptSlope,interceptOffset,pointSourceMin,pointSourceMax,pointTargetMin,pointTargetMax,stFunc,stData,tagName,dataType,dataUnit,access,dataSize,offset
alarm_E1,1,0,4,3071,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_E1,uint16,,r,,0
alarm_E2,1,0,4,3072,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_E2,uint16,,r,,0
alarm_E3,1,0,4,3073,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_E3,uint16,,r,,0
alarm_W1,1,0,4,3087,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_W1,uint16,,r,,0
alarm_W2,1,0,4,3088,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_W2,uint16,,r,,0
alarm_F1,1,0,4,3103,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_F1,uint16,,r,,0
alarm_F2,1,0,4,3104,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_F2,uint16,,r,,0
alarm_F3,1,0,4,3105,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_F3,uint16,,r,,0
alarm_F4,1,0,4,3106,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_F4,uint16,,r,,0
alarm_F5,1,0,4,3107,1,0,1,10000,0,0,3600,0 00,0,1,0,0,1,0,1,0,,alarm_F5,uint16,,r,,0
unit,1,0,4,40961,1,0,1,10000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,unit,uint16,,r,,0
scale_factor,1,0,4,40994,1,0,1,10000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,scale_factor,uint16,,r,,0
dcp,1,0,4,45055,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,dcp,int16,,r,,0
pv_v1,1,0,4,45056,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v1,int16,,r,,0
pv_a1,1,0,4,45057,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a1,int16,,r,,0
pv_p1,1,0,4,45058,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_p1,int16,,r,,0
pv_v2,1,0,4,45059,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v2,int16,,r,,0
pv_a2,1,0,4,45060,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a2,int16,,r,,0
pv_p2,1,0,4,45061,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_p2,int16,,r,,0
pv_v3,1,0,4,45062,1,0,1,10000,0,0,3600,0 00,1,0.1,0,0,1,0,1,0,,pv_v3,int16,,r,,0
pv_a3,1,0,4,45063,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_a3,int16,,r,,0
pv_p3,1,0,4,45064,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_p3,int16,,r,,0
pv_v4,1,0,4,45065,1,0,1,10000,0,0,3600,0 00,1,0.1,0,0,1,0,1,0,,pv_v4,int16,,r,,0
pv_a4,1,0,4,45066,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_a4,int16,,r,,0
pv_p4,1,0,4,45067,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_p4,int16,,r,,0
pv_v5,1,0,4,45068,1,0,1,10000,0,0,3600,0 00,1,0.1,0,0,1,0,1,0,,pv_v5,int16,,r,,0
pv_a5,1,0,4,45069,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_a5,int16,,r,,0
pv_p5,1,0,4,45070,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_p5,int16,,r,,0
pv_v6,1,0,4,45071,1,0,1,10000,0,0,3600,0 00,1,0.1,0,0,1,0,1,0,,pv_v6,int16,,r,,0
pv_a6,1,0,4,45072,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_a6,int16,,r,,0
pv_p6,1,0,4,45073,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_p6,int16,,r,,0
pv_v7,1,0,4,45092,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v7,int16,,r,,0
pv_a7,1,0,4,45093,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a7,int16,,r,,0
pv_p7,1,0,4,45094,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_p7,int16,,r,,0
pv_v8,1,0,4,45095,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v8,int16,,r,,0
pv_a8,1,0,4,45096,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a8,int16,,r,,0
pv_p8,1,0,4,45097,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_p8,int16,,r,,0
pv_v9,1,0,4,45098,1,0,1,10000,0,0,3600,0 00,1,0.1,0,0,1,0,1,0,,pv_v9,int16,,r,,0
pv_a9,1,0,4,45099,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_a9,int16,,r,,0
pv_p9,1,0,4,45100,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_p9,int16,,r,,0
pv_v10,1,0,4,45101,1,0,1,10000,0,0,3600,0 00,1,0.1,0,0,1,0,1,0,,pv_v10,int16,,r,,0
pv_a10,1,0,4,45102,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_a10,int16,,r,,0
pv_p10,1,0,4,45103,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_p10,int16,,r,,0
pv_v11,1,0,4,45104,1,0,1,10000,0,0,3600,0 00,1,0.1,0,0,1,0,1,0,,pv_v11,int16,,r,,0
pv_a11,1,0,4,45105,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_a11,int16,,r,,0
pv_p11,1,0,4,45106,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_p11,int16,,r,,0
pv_v12,1,0,4,45107,1,0,1,10000,0,0,3600,0 00,1,0.1,0,0,1,0,1,0,,pv_v12,int16,,r,,0
pv_a12,1,0,4,45108,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_a12,int16,,r,,0
pv_p12,1,0,4,45109,1,0,1,10000,0,0,3600,0 00,1,0.01,0,0,1,0,1,0,,pv_p12,int16,,r,,0
acp,1,0,4,49151,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,acp,int16,,r,,0
Rc,1,0,4,49153,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,Rc,int16,,r,,0
power_r,1,0,4,49154,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,power_r,int16,,r,,0
freq,1,0,4,49155,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,freq,int16,,r,,0
Sc,1,0,4,49157,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,Sc,int16,,r,,0
power_s,1,0,4,49158,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,power_s,int16,,r,,0
Tc,1,0,4,49161,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,Tc,int16,,r,,0
power_t,1,0,4,49162,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,power_t,int16,,r,,0
Vrs,1,0,4,49178,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrs,int16,,r,,0
Vst,1,0,4,49179,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vst,int16,,r,,0
Vrt,1,0,4,49180,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrt,int16,,r,,0
PF,1,0,4,49248,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,PF,int16,,r,,0
Eff,1,0,4,49249,1,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Eff,int16,,r,,0
E_today,1,0,4,53247,2,0,1,10000,2,0,3600,00 00,1,0.1,0,0,1,0,1,0,,E_today,uint32,,r,,0
AC_kwh,1,0,4,53251,2,0,1,10000,2,0,3600,00 00,1,0.1,0,0,1,0,1,0,,AC_kwh,uint32,,r,,0
State,1,0,4,53255,1,0,1,10000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,State,int16,,r,,0
temp,1,0,4,53261,1,0,1,10000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,temp,int16,,r,,0
