@version:1.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[mcmds],,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enable,mode,func,readAddress,readQuantity,writeAddress,writeQuantity,pollInterval,swap,fpFunc,fpTout,fpData,scalingFunc,interceptSlope,interceptOffset,pointSourceMin,pointSourceMax,pointTargetMin,pointTargetMax,stFunc,stData,tagName,dataType,dataUnit,access,dataSize,offset
Rc,1,0,3,72,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,Rc,int16,,r,,0
Sc,1,0,3,73,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,Sc,int16,,r,,0
Tc,1,0,3,74,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,Tc,int16,,r,,0
current_SF,1,0,3,75,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,current_SF,int16,,r,,0
Vrs,1,0,3,76,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,Vrs,int16,,r,,0
Vst,1,0,3,77,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,Vst,int16,,r,,0
Vrt,1,0,3,78,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,Vrt,int16,,r,,0
voltage_SF,1,0,3,82,1,0,1,1000,0,0,3600,0 00,1,1,0,0,1,0,1,0,,voltage_SF,int16,,r,,0
acp,1,0,3,83,1,0,1,1000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,acp,int16,,r,,0
acp_SF,1,0,3,84,1,0,1,1000,0,0,3600,0 00,1,1,0,0,1,0,1,0,,acp_SF,int16,,r,,0
freq,1,0,3,85,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,freq,int16,,r,,0
freq_SF,1,0,3,86,1,0,1,1000,0,0,3600,0 00,1,1,0,0,1,0,1,0,,freq_SF,int16,,r,,0
PF,1,0,3,91,1,0,1,1000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,PF,int16,,r,,0
PF_SF,1,0,3,92,1,0,1,1000,0,0,3600,0 00,1,1,0,0,1,0,1,0,,PF_SF,int16,,r,,0
AC_kWh,1,0,3,93,2,0,1,1000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,AC_kWh,uint32,,r,,0
AC_kWh_SF,1,0,3,95,1,0,1,1000,0,0,3600,0 00,1,1,0,0,1,0,1,0,,AC_kWh_SF,int16,,r,,0
dcp,1,0,3,100,1,0,1,1000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,dcp,int16,,r,,0
dcp_SF,1,0,3,101,1,0,1,1000,0,0,3600,0 00,1,1,0,0,1,0,1,0,,dcp_SF,int16,,r,,0
temp_1,1,0,3,103,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,temp_1,int16,,r,,0
temp_SF,1,0,3,106,1,0,1,1000,0,0,3600,0 00,1,1,0,0,1,0,1,0,,temp_SF,int16,,r,,0
State,1,0,3,107,1,0,1,1000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,State,uint16,,r,,0
event,1,0,3,108,1,0,1,1000,0,0,3600,0 00,1,1,0,0,1,0,1,0,,event,int16,,r,,0
pv_a_SF,1,0,3,123,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_a_SF,int16,,r,,0
pv_v_SF,1,0,3,124,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_v_SF,int16,,r,,0
pv_p_SF,1,0,3,125,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_p_SF,int16,,r,,0
pv_a1,1,0,3,140,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_a1,int16,,r,,0
pv_v1,1,0,3,141,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_v1,int16,,r,,0
pv_p1,1,0,3,142,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_p1,int16,,r,,0
pv_a2,1,0,3,160,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_a2,int16,,r,,0
pv_v2,1,0,3,161,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_v2,int16,,r,,0
pv_p2,1,0,3,162,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_p2,int16,,r,,0
pv_a3,1,0,3,180,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_a3,int16,,r,,0
pv_v3,1,0,3,181,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_v3,int16,,r,,0
pv_p3,1,0,3,182,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,pv_p3,int16,,r,,0
