@version:1.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[mcmds],,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enable,mode,func,readAddress,readQuantity,writeAddress,writeQuantity,pollInterval,swap,fpFunc,fpTout,fpData,scalingFunc,interceptSlope,interceptOffset,pointSourceMin,pointSourceMax,pointTargetMin,pointTargetMax,stFunc,stData,tagName,dataType,dataUnit,access,dataSize,offset
pv_v1,1,0,3,6143,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v1,int16,,r,,0
pv_a1,1,0,3,6144,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a1,int16,,r,,0
pv_v2,1,0,3,6185,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v2,int16,,r,,0
pv_a2,1,0,3,6186,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a2,int16,,r,,0
PF,1,0,3,0,1,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,PF,int16,,r,,0
Vrs,1,0,3,6136,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrs,uint16,,r,,0
Vst,1,0,3,6137,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vst,uint16,,r,,0
Vrt,1,0,3,6138,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrt,uint16,,r,,0
Rc,1,0,3,6139,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Rc,int32,,r,,0
Sc,1,0,3,6140,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Sc,int32,,r,,0
Tc,1,0,3,6141,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Tc,int32,,r,,0
Eff,1,0,3,0,1,0,1,10000,0,0,3600,00 00,1,0.0001,0,0,1,0,1,0,,Eff,uint16,,r,,0
temp_1,1,0,3,5889,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,temp_1,int16,,r,,0
State,1,0,3,5888,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,State,uint16,,r,,0
acp,1,0,3,6142,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,acp,int32,,r,,0
dcp,1,0,3,6142,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,dcp,int32,,r,,0
E_today,1,0,3,2052,2,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,E_today,uint32,,r,,0
AC_kWh,1,0,3,2050,2,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,AC_kWh,uint32,,r,,0
Insulation,1,0,3,0,1,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Insulation,uint16,,r,,0
freq,1,0,3,6168,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,freq,uint16,,r,,0
event_1,1,0,3,6184,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_1,uint16,,r,,0
event_2,1,0,3,0,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_2,uint16,,r,,0
event_3,1,0,3,0,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_3,uint16,,r,,0
event_4,1,0,3,0,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_4,uint16,,r,,0
