@version:1.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[mcmds],,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enable,mode,func,readAddress,readQuantity,writeAddress,writeQuantity,pollInterval,swap,fpFunc,fpTout,fpData,scalingFunc,interceptSlope,interceptOffset,pointSourceMin,pointSourceMax,pointTargetMin,pointTargetMax,stFunc,stData,tagName,dataType,dataUnit,access,dataSize,offset
pv_v1,1,0,3,32262,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v1,int16,,r,,0
pv_a1,1,0,3,32263,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a1,int16,,r,,0
pv_v2,1,0,3,32264,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v2,int16,,r,,0
pv_a2,1,0,3,32265,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a2,int16,,r,,0
pv_v3,1,0,3,32266,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v3,int16,,r,,0
pv_a3,1,0,3,32267,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a3,int16,,r,,0
pv_v4,1,0,3,32268,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v4,int16,,r,,0
pv_a4,1,0,3,32269,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a4,int16,,r,,0
pv_v5,1,0,3,32270,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v5,int16,,r,,0
pv_a5,1,0,3,32271,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a5,int16,,r,,0
pv_v6,1,0,3,32272,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v6,int16,,r,,0
pv_a6,1,0,3,32273,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a6,int16,,r,,0
pv_v7,1,0,3,32314,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v7,int16,,r,,0
pv_a7,1,0,3,32315,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a7,int16,,r,,0
pv_v8,1,0,3,32316,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v8,int16,,r,,0
pv_a8,1,0,3,32317,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a8,int16,,r,,0
PF,1,0,3,32284,1,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,PF,int16,,r,,0
Vrs,1,0,3,32274,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrs,uint16,,r,,0
Vst,1,0,3,32275,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vst,uint16,,r,,0
Vrt,1,0,3,32276,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrt,uint16,,r,,0
Rc,1,0,3,32280,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Rc,int32,,r,,0
Sc,1,0,3,32281,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Sc,int32,,r,,0
Tc,1,0,3,32282,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Tc,int32,,r,,0
Eff,1,0,3,32285,1,0,1,10000,0,0,3600,00 00,1,0.0001,0,0,1,0,1,0,,Eff,uint16,,r,,0
temp_1,1,0,3,32286,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,temp_1,int16,,r,,0
State,1,0,3,32287,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,State,uint16,,r,,0
acp,1,0,3,32290,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,acp,int32,,r,,0
dcp,1,0,3,32294,2,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,dcp,int32,,r,,0
E_today,1,0,3,32300,2,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,E_today,uint32,,r,,0
AC_kWh,1,0,3,32306,2,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,AC_kWh,uint32,,r,,0
Insulation,1,0,3,32323,1,0,1,10000,0,0,3600,00 00,1,0.001,0,0,1,0,1,0,,Insulation,uint16,,r,,0
freq,1,0,3,32283,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,freq,uint16,,r,,0
event_1,1,0,3,50000,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_1,uint16,,r,,0
event_2,1,0,3,50001,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_2,uint16,,r,,0
event_3,1,0,3,50002,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_3,uint16,,r,,0
event_4,1,0,3,50003,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_4,uint16,,r,,0
event_5,1,0,3,50004,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_5,uint16,,r,,0
event_6,1,0,3,50005,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_6,uint16,,r,,0
event_7,1,0,3,50006,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_7,uint16,,r,,0
event_8,1,0,3,50007,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_8,uint16,,r,,0
event_9,1,0,3,50008,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_9,uint16,,r,,0
event_10,1,0,3,50009,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_10,uint16,,r,,0
event_11,1,0,3,50010,1,0,1,10000,0,0,3600,00 00,1,1,0,0,1,0,1,0,,event_11,uint16,,r,,0
