@version:1.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[mcmds],,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enable,mode,func,readAddress,readQuantity,writeAddress,writeQuantity,pollInterval,swap,fpFunc,fpTout,fpData,scalingFunc,interceptSlope,interceptOffset,pointSourceMin,pointSourceMax,pointTargetMin,pointTargetMax,stFunc,stData,tagName,dataType,dataUnit,access,dataSize,offset
pv_v1,1,0,3,32016,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v1,int16,,r,,0
pv_a1,1,0,3,32017,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a1,int16,,r,,0
pv_v2,1,0,3,32018,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v2,int16,,r,,0
pv_a2,1,0,3,32019,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a2,int16,,r,,0
pv_v3,1,0,3,32020,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v3,int16,,r,,0
pv_a3,1,0,3,32021,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a3,int16,,r,,0
pv_v4,1,0,3,32022,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v4,int16,,r,,0
pv_a4,1,0,3,32023,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a4,int16,,r,,0
pv_v5,1,0,3,32024,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v5,int16,,r,,0
pv_a5,1,0,3,32025,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a5,int16,,r,,0
pv_v6,1,0,3,32026,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v6,int16,,r,,0
pv_a6,1,0,3,32027,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a6,int16,,r,,0
pv_v7,1,0,3,32028,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v7,int16,,r,,0
pv_a7,1,0,3,32029,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a7,int16,,r,,0
pv_v8,1,0,3,32030,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v8,int16,,r,,0
pv_a8,1,0,3,32031,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a8,int16,,r,,0
pv_v9,1,0,3,32032,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v9,int16,,r,,0
pv_a9,1,0,3,32033,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a9,int16,,r,,0
pv_v10,1,0,3,32034,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v10,int16,,r,,0
pv_a10,1,0,3,32035,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a10,int16,,r,,0
pv_v11,1,0,3,32036,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v11,int16,,r,,0
pv_a11,1,0,3,32037,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a11,int16,,r,,0
pv_v12,1,0,3,32038,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v12,int16,,r,,0
pv_a12,1,0,3,32039,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a12,int16,,r,,0
pv_v13,1,0,3,32040,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v13,int16,,r,,0
pv_a13,1,0,3,32041,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a13,int16,,r,,0
pv_v14,1,0,3,32042,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v14,int16,,r,,0
pv_a14,1,0,3,32043,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a14,int16,,r,,0
pv_v15,1,0,3,32044,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v15,int16,,r,,0
pv_a15,1,0,3,32045,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a15,int16,,r,,0
pv_v16,1,0,3,32046,1,0,1,10000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v16,int16,,r,,0
pv_a16,1,0,3,32047,1,0,1,10000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,pv_a16,int16,,r,,0
