@version:1.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[mcmds],,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enable,mode,func,readAddress,readQuantity,writeAddress,writeQuantity,pollInterval,swap,fpFunc,fpTout,fpData,scalingFunc,interceptSlope,interceptOffset,pointSourceMin,pointSourceMax,pointTargetMin,pointTargetMax,stFunc,stData,tagName,dataType,dataUnit,access,dataSize,offset
E_today,1,0,4,5002,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,E_today,uint16,,r,,0
AC_kWh,1,0,4,5003,2,0,1,1000,2,0,3600,00 00,0,1,0,0,1,0,1,0,,AC_kWh,uint32,,r,,0
temp_1,1,0,4,5006,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,temp_1,int16,,r,,0
pv_v1,1,0,4,5010,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v1,uint16,,r,,0
pv_a1,1,0,4,5011,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a1,uint16,,r,,0
pv_v2,1,0,4,5012,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v2,uint16,,r,,0
pv_a2,1,0,4,5013,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a2,uint16,,r,,0
pv_v3,1,0,4,5014,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v3,uint16,,r,,0
pv_a3,1,0,4,5015,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a3,uint16,,r,,0
dcp,1,0,4,5016,2,0,1,1000,2,0,3600,00 00,1,0.001,0,0,1,0,1,0,,dcp,uint32,,r,,0
Vrs,1,0,4,5018,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrs,int16,,r,,0
Vst,1,0,4,5019,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vst,int16,,r,,0
Vrt,1,0,4,5020,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Vrt,int16,,r,,0
Rc,1,0,4,5021,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Rc,int16,,r,,0
Sc,1,0,4,5022,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Sc,int16,,r,,0
Tc,1,0,4,5023,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,Tc,int16,,r,,0
acp,1,0,4,5030,2,0,1,1000,2,0,3600,00 00,1,0.001,0,0,1,0,1,0,,acp,uint32,,r,,0
PF,1,0,4,5034,1,0,1,1000,0,0,3600,00 00,1,0.01,0,0,1,0,1,0,,PF,int16,,r,,0
freq,1,0,4,5035,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,freq,uint16,,r,,0
State,1,0,4,5037,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,State,uint16,,r,,0
event,1,0,4,5044,1,0,1,1000,0,0,3600,00 00,0,1,0,0,1,0,1,0,,event,uint16,,r,,0
Insulation,1,0,4,5070,1,0,1,1000,0,0,3600,0 00,1,0.001,0,0,1,0,1,0,,Insulation,uint16,,r,,0
pv_v4,1,0,4,5114,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v4,uint16,,r,,0
pv_a4,1,0,4,5115,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a4,uint16,,r,,0
pv_v5,1,0,4,5116,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v5,uint16,,r,,0
pv_a5,1,0,4,5117,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a5,uint16,,r,,0
pv_v6,1,0,4,5118,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v6,uint16,,r,,0
pv_a6,1,0,4,5119,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a6,uint16,,r,,0
pv_v7,1,0,4,5120,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v7,uint16,,r,,0
pv_a7,1,0,4,5121,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a7,uint16,,r,,0
pv_v8,1,0,4,5122,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v8,uint16,,r,,0
pv_a8,1,0,4,5123,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a8,uint16,,r,,0
pv_v9,1,0,4,5129,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v9,uint16,,r,,0
pv_a9,1,0,4,5130,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_a9,uint16,,r,,0
pv_v10,1,0,4,5131,1,0,1,1000,0,0,3600,00 00,1,0.1,0,0,1,0,1,0,,pv_v10,uint16,,r,,0
